pays 	urbain 	religion 	espvief 	litterat 	pop_aug 	mortbebe 	region 	tx_nais 	tx_mort 	log_pdb 	nais_mor 	fertilit 	log_pop 
Afghanistan 	18 	Musulman 	44 	29 	2.8 	168 	3 	53 	22 	2.31 	2.41 	6.9 	4.31 
Argentine 	85 	Catho 	75 	95 	1.3 	25.6 	6 	20 	9 	3.53 	2.22 	2.8 	4.53 
Arménie 	68 	Othodoxe 	75 	98 	1.4 	27 	5 	23 	6 	3.7 	3.83 	3.2 	3.57 
Australie 	85 	Protest 	80 	100 	1.4 	7.3 	1 	15 	8 	4.23 	1.88 	1.9 	4.25 
Autriche 	58 	Catho 	79 	99 	0.2 	6.7 	1 	12 	11 	4.26 	1.09 	1.5 	3.9 
Azerbaïdjan 	54 	Musulman 	75 	98 	1.4 	35 	5 	23 	7 	3.48 	3.29 	2.8 	3.87 
Barheïn 	83 	Musulman 	74 	77 	2.4 	25 	5 	29 	4 	3.9 	7.25 	4 	2.78 
Bangladesh 	16 	Musulman 	53 	35 	2.4 	106 	3 	35 	11 	2.31 	3.18 	4.7 	5.1 
Barbados 	45 	Protest 	78 	99 	0.2 	20.3 	6 	16 	8 	3.84 	1.9 	1.8 	2.41 
Bélarussie 	65 	Othodoxe 	76 	99 	0.3 	19 	2 	13 	11 	3.81 	1.18 	1.9 	4.01 
Belgique 	96 	Catho 	79 	99 	0.2 	7.2 	1 	12 	11 	4.25 	1.09 	1.7 	4 
Bolivie 	51 	Catho 	64 	78 	2.7 	75 	6 	34 	9 	2.86 	3.78 	4.2 	3.9 
Bosnie 	36 	Musulman 	78 	86 	0.7 	12.7 	2 	14 	6 	3.49 	2.19 	 	3.66 
Botswana 	25 	Tribal 	66 	72 	2.7 	39.3 	4 	32 	8 	3.43 	4 	5.1 	3.13 
Brésil 	75 	Catho 	67 	81 	1.3 	66 	6 	21 	9 	3.37 	2.33 	2.7 	5.19 
Bulgarie 	68 	Othodoxe 	75 	93 	-0.2 	12 	2 	13 	12 	3.58 	1.08 	1.8 	3.95 
BurkinaFaso 	15 	Animiste 	50 	18 	2.8 	118 	4 	47 	18 	2.55 	2.61 	6.9 	4 
Burundi 	5 	Catho 	50 	50 	2.3 	105 	4 	44 	21 	2.32 	2.1 	6.8 	3.78 
Cambodge 	12 	Bouddh 	52 	35 	2.9 	112 	3 	45 	16 	2.41 	2.81 	5.8 	4 
Cameroun 	40 	Animiste 	58 	54 	2.9 	77 	4 	41 	12 	3 	3.42 	5.7 	4.12 
Canada 	77 	Catho 	81 	97 	0.7 	6.8 	1 	14 	8 	4.3 	1.75 	1.8 	4.46 
AfriCent 	47 	Protest 	44 	27 	2.4 	137 	4 	44 	21 	2.66 	2.1 	5.4 	3.52 
Chili 	85 	Catho 	78 	93 	1.7 	14.6 	6 	23 	6 	3.41 	3.83 	2.5 	4.15 
Chine 	26 	Taoïste 	69 	78 	1.1 	52 	3 	21 	7 	2.58 	3 	1.8 	6.08 
Colombie 	70 	Catho 	75 	87 	2 	28 	6 	24 	6 	3.19 	4 	2.5 	4.55 
CostaRica 	47 	Catho 	79 	93 	2.3 	11 	6 	26 	4 	3.31 	6.5 	3.1 	3.52 
Croatie 	51 	Catho 	77 	97 	-0.1 	8.7 	2 	11 	11 	3.74 	1 	1.7 	3.69 
Cuba 	74 	Catho 	78 	94 	1 	10.2 	6 	17 	7 	3.14 	2.43 	1.9 	4.05 
RépTchèque 	 	Catho 	77 	 	0.2 	9.3 	2 	13 	11 	3.86 	1.17 	1.8 	4.02 
Danemark 	85 	Protest 	79 	99 	0.1 	6.6 	1 	12 	12 	4.26 	1 	1.7 	3.72 
